Facility Name,Category,Type,City,State,Start date,Gas Flow to project (scfm),Source,Date updated,Latitude,Longitude,x,y
Charles M Hinton Jr Regional Landfill,Landfill,Vehicle Fuel - Pipeline Injection,Rowlett,TX,10/31/2021,,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,32.959,-96.543,-10747117.59965501,3889863.1627604007
Circle A Dairy Digester,Ag digester,CNG,Pixley,CA,2018,99,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,35.989403,-119.368347,-13288023.604874786,4299163.339138255
City of Charleston Landfill,Landfill,Vehicle Fuel - Pipeline Injection,Charleston,WV,2/1/2018,470,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,38.31279,-81.61854,-9085734.31209043,4623707.271612217
City of Edinburg Landfill,Landfill,Vehicle Fuel - Pipeline Injection,Edinburg,TX,5/3/2016,1549,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,26.397651,-98.125471,-10923277.465570133,3048415.6654430805
"Clover Hill Dairy, LLC Digester",Ag digester,Pipeline Gas,Campbellsport,WI,2007,80,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,43.565073,-88.371072,-9837422.735895716,5398381.08053249
Cloverdale Dairy Digester,Ag digester,CNG,Hanford,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.19019886,-119.6541509,-13319839.149489518,4326824.10097049
Coastal Plains RDF,Landfill,Vehicle Fuel - Pipeline Injection,Alvin,TX,12/31/2020,,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,29.424167,-95.190834,-10596595.169067033,3429744.5599505217
Cornerstone Dairy Digester,Ag digester,CNG,Tipton,CA,2019,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.019067,-119.380727,-13289401.740170807,4303245.279105562
DJ South Dairy Digester,Ag digester,CNG,Chowchilla,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,37.1691465,-120.3746694,-13400046.902016649,4462709.9260081425
Dairy Dreams Digester - pipeline injection,Ag digester,Electricity; Pipeline Gas,Casco,WI,2010,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,44.660888,-87.582173,-9749602.900928393,5568292.298632388
Dallmann East River Dairy Digester,Ag digester,Pipeline Gas,Brillion,WI,2012,174,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,44.117487,-88.061223,-9802930.50299291,5483641.604919262
Dane County Digester - Vienna Digester,Ag digester,Pipeline Gas,Vienna,WI,2011,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,43.216318,-89.478245,-9960672.670475777,5344955.82777054
Dane County LF #2-Rodefeld,Landfill,Vehicle Fuel - Pipeline Injection,Madison,WI,4/23/2019,1500,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,43.045,-89.254,-9935709.83126284,5318823.815984821
Dane County LF #2-Rodefeld,Landfill,Vehicle Fuel - Local Use,Madison,WI,3/18/2011,49,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,43.045,-89.254,-9935709.83126284,5318823.815984821
Decade Dairy Digester,Ag digester,CNG,Tulare,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.253205,-119.488024,-13301345.98757445,4335518.156235634
Deer Run Dairy Digester,Ag digester,Pipeline Gas,Kewaunee,WI,2012,160,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,44.366526,-87.66454,-9758771.953426562,5522339.239579133
District 45 Dairy Digester - CNG,Ag digester,CNG,Hancock,MN,2020,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,45.497925,-95.795339,-10663888.35784902,5700253.183774952
Dixie Creek Dairy Digester,Ag digester,CNG,Hanford,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.32180198,-119.5187217,-13304763.239906978,4344991.652763917
Double D Dairy Digester,Ag digester,Boiler/Furnace fuel; CNG,Ceres,CA,2020,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,37.527867,-120.955838,-13464742.29463369,4512942.285268972
Double J Dairy Digester,Ag digester,CNG,Visalia,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.39221932,-119.4274905,-13294607.429178517,4354725.224896405
Double L Dairy Digester,Ag digester,CNG,Hanford,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.19940375,-119.6417245,-13318455.848969122,4328093.823429603
Douglas County Landfill,Landfill,Vehicle Fuel - Pipeline Injection,Omaha,NE,12/31/2015,639,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,41.3357,-96.1101,-10698927.392090602,5061984.149044495
Dubuque Metropolitan SLF,Landfill,Vehicle Fuel - Pipeline Injection,Dubuque,IA,10/15/2021,1000,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,42.45501,-90.77686,-10105233.831012284,5229383.308704105
Dykstra Dairy Digester,Ag digester,CNG,Tulare,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.10218139,-119.4175425,-13293500.022884104,4314690.497962285
El Monte Dairy Digester,Ag digester,CNG,Tipton,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.08476596,-119.335213,-13284335.14486684,4312291.314692838
FM Jerseys Dairy Digester,Ag digester,CNG,Tipton,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.08615001,-119.3015916,-13280592.427739084,4312481.964649199
Five H Dairy Digester,Ag digester,CNG,Merced,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,37.20504308,-120.4976904,-13413741.53709353,4467725.815681353
Fort Bend Regional Landfill,Landfill,Vehicle Fuel - Pipeline Injection,Needville,TX,6/2/2013,1764,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,29.3965,-95.7259,-10656158.443727827,3426209.044979612
Fort Smith SLF,Landfill,Vehicle Fuel - Pipeline Injection,Fort Smith,AR,5/11/2006,2840,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,35.2926,-94.3704,-10505264.873957545,4203715.75228216
Franklin County SLF,Landfill,Vehicle Fuel - Pipeline Injection,Rocky Mount,VA,2/1/2014,5556,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,39.84186,-83.10904,-9251656.013117803,4842988.346594941
Galveston County LF,Landfill,Vehicle Fuel - Pipeline Injection,Alta Loma,TX,10/2/2019,1094,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,29.3881,-95.0559,-10581574.384896332,3425135.8148303423
Glacier Ridge Landfill LLC,Landfill,Vehicle Fuel - Pipeline Injection,Horicon,WI,10/31/2020,2500,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,43.465,-88.555,-9857897.507198343,5383019.5579191195
Goodrich Family Farm Digester,Ag digester,Pipeline Gas,Salisbury,VT,2021,266,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,43.94044,-73.15303,-8143358.049585065,5456229.7576710265
Granger Wood Street Landfill,Landfill,Vehicle Fuel - Pipeline Injection,Lansing,MI,12/31/2021,,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,42.76355,-84.55778,-9412929.012209652,5276050.7180403825
Greentree Landfill,Landfill,Electricity - Pipeline Injection,Kersey,PA,7/1/2007,5833,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,41.2953,-78.6469,-8754932.860469507,5055996.405551096
Greenwood Farms Landfill,Landfill,Vehicle Fuel - Pipeline Injection,Tyler,TX,4/22/2009,1139,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,32.369167,-95.182501,-10595667.543750253,3811867.6834567287
"Grotegut Dairy Farm, Inc. Digester",Ag digester,Cogeneration; CNG,Newton,WI,2009,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,43.996685,-87.803724,-9774265.845433135,5464929.193768655
Hamm SLF,Landfill,Vehicle Fuel - Pipeline Injection,Lawrence,KS,7/31/2017,1361,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,39.0465,-95.2626,-10604584.123643303,4728334.489009514
Hamstra Dairy Digester,Ag digester,CNG,Tulare,CA,2020,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.26529343,-119.4073085,-13292360.779215328,4337187.008860441
Herrema Dairy Digester,Ag digester,CNG,Fair Oaks,IN,2002,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,41.113513,-87.249933,-9712618.113307236,5029099.250585688
Hilarides Dairy Digester,Ag digester,Electricity; CNG,Lindsay,CA,2004,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.20300637,-119.08816,-13256833.330707889,4328590.80945427
Hollandia Farms Digester,Ag digester,CNG,Hanford,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.2040449,-119.5960655,-13313373.112338992,4328734.0802397635
Holsum Dairy - Elm Road Digester,Ag digester,Pipeline Gas,Hilbert,WI,2007,252,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,44.107163,-88.224128,-9821065.004640589,5482040.908662418
Holsum Dairy - Irish Road Digester,Ag digester,Pipeline Gas,Hilbert,WI,2004,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,44.14,-88.164754,-9814455.521194229,5487133.128650702
Hoogendam Dairy Digester,Ag digester,CNG,Merced,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,37.23182965,-120.4561591,-13409118.293925544,4471470.302798917
Horizon Jersey Dairy Digester,Ag digester,CNG,Tipton,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.0841731,-119.3758747,-13288861.58460563,4312209.650510197
Imperial Sanitary Landfill,Landfill,Electricity - Pipeline Injection,Imperial,PA,9/1/2007,2917,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,40.43512,-80.29125,-8937981.065155428,4929375.668161485
Jacobus De Groot #2 Dairy Digester,Ag digester,CNG,Visalia,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.37939734,-119.3428044,-13285180.21564925,4352952.226103916
Jefferson Davis Parish Landfill,Landfill,Vehicle Fuel - Pipeline Injection,Welsh,LA,4/1/2008,1924,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,30.27083,-92.865,-10337684.51251735,3538410.234439089
Johnson County LF,Landfill,Vehicle Fuel - Pipeline Injection,,TN,9/1/2001,4722,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,39.04226,-94.79455,-10552481.035977513,4727726.764018076
K & M Visser Dairy Digester,Ag digester,CNG,Pixley,CA,2019,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,35.960667,-119.371905,-13288419.679623028,4295210.560725059
Laurel Highlands LF,Landfill,Vehicle Fuel - Pipeline Injection,Johnstown,PA,7/1/2006,944,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,40.4321,-78.876,-8780436.155810246,4928933.992624408
Legacy Dairy Digester,Ag digester,CNG,Pixley,CA,2019,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,35.971839,-119.381959,-13289538.885783462,4296747.153412242
Little Rock Dairy Digester,Ag digester,CNG,Tipton,CA,2020,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.040576,-119.397743,-13291295.952626145,4306206.004380046
Live Oak LF,Landfill,Vehicle Fuel - Pipeline Injection,Conley,GA,3/1/2009,1653,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,33.6706,-84.3428,-9388997.548078913,3984656.9494149885
Lone Oak #1 Dairy Digester,Ag digester,CNG,Hanford,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.28169854,-119.5286738,-13305871.1026113,4339452.208387842
