Facility Name,Category,Type,City,State,Start date,Gas Flow to project (scfm),Source,Date updated,Latitude,Longitude,x,y
Prairie's Edge Dairy Site 2 Digester 2,Ag digester,CNG,Fair Oaks,IN,2018,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,41.030099,-87.283098,-9716310.024219396,5016782.273681107
Rancho Sierra Vista Dairy Digester,Ag digester,CNG,Visalia,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.38864605,-119.3273584,-13283460.774794454,4354231.090589244
Rancho Teresita Dairy Digester,Ag digester,CNG,Tulare,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.18562109,-119.2183802,-13271329.377062887,4326192.698977856
Randolph Farms LF,Landfill,Vehicle Fuel - Local Use,Modoc,IN,7/1/2018,200,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,40.07745,-85.11042,-9474448.615601648,4877203.493637235
Red Rock Dairy Digester,Ag digester,CNG,Merced,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,37.20666646,-120.4641519,-13410008.048351558,4467952.709674361
Renergy - Emerald BioEnergy Digester,Ag digester,Electricity; Boiler/Furnace fuel; CNG,Cardington,OH,2013,140,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,40.444996,-82.961991,-9235286.593316145,4930820.173447373
Richfield Landfill,Landfill,Vehicle Fuel - Pipeline Injection,Davison,MI,11/1/2006,1410,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,43.127376,-83.485555,-9293569.471193835,5331379.913374287
River Birch Landfill,Landfill,Vehicle Fuel - Pipeline Injection,Avondale,LA,6/1/2010,4667,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,29.932,-90.258,-10047474.600019285,3494812.0687658517
River Ranch Dairy Digester,Ag digester,CNG,Hanford,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.24638379,-119.5748608,-13311012.615932569,4334576.576835427
Riverbend Dairy Digester,Ag digester,CNG,Tulare,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.16072208,-119.2801271,-13278203.010528952,4322759.07794123
Riverview Dairy (CA) Digester,Ag digester,CNG,Pixley,CA,2019,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,35.943056,-119.360239,-13287121.026443433,4292788.791713267
Riverview Dairy Digester - CNG,Ag digester,CNG,Morris,MN,2020,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,45.561217,-95.916825,-10677412.117507532,5710310.601922423
Riverview Land Preserve,Landfill,Vehicle Fuel - Local Use,Riverview,MI,4/1/2013,97,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,42.15621,-83.21208,-9263126.373449145,5184407.741683689
Rob Van Grouw Dairy Digester,Ag digester,CNG,Visalia,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.39346986,-119.3992437,-13291463.009785976,4354898.162818452
Robert Vander Eyk Dairy Digester,Ag digester,CNG,Pixley,CA,2018,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,35.97293,-119.363401,-13287473.01867332,4296897.220796591
Rockshar Dairy Digester,Ag digester,CNG,Merced,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,37.1820679,-120.4344778,-13406704.742649809,4464515.180402676
Roeslein Alternative Energy - Green Hills Farm Digester,Ag digester,Pipeline Gas,Unionville,MO,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,40.37761,-92.991907,-10351811.735135453,4920968.2251164
Roeslein Alternative Energy - Homan Farm Digester,Ag digester,Pipeline Gas,King City,MO,2020,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,40.053273,-94.324591,-10500165.439403795,4873686.7892670855
Roeslein Alternative Energy - Locust Ridge Farm Digester,Ag digester,Pipeline Gas,Harris,MO,2017,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,40.304281,-93.301377,-10386261.777951248,4910258.5886291545
Roeslein Alternative Energy - Ruckman Farm Digester,Ag digester,Pipeline Gas,Albany,MO,2016,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,40.370708,-94.373609,-10505622.0982035,4919959.697514418
Roeslein Alternative Energy - Somerset Farm Digester,Ag digester,Pipeline Gas,Mercer,MO,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,40.549553,-93.40352,-10397632.284699345,4946126.159529611
Roeslein Alternative Energy - South Meadows Farm Digester: RNG,Ag digester,Pipeline Gas,Browning,MO,2020,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,40.045931,-93.039377,-10357096.07136341,4872619.093834869
Roeslein Alternative Energy - Valley View Farm Digester,Ag digester,Pipeline Gas,Green City,MO,2017,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,40.268236,-92.953204,-10347503.33688328,4904998.5100211995
Roeslein Alternative Energy - Whitetail Farm Digester,Ag digester,Pipeline Gas,Unionville,MO,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,40.529045,-92.934671,-10345440.252760407,4943122.134121882
Roosevelt Regional MSW Landfill,Landfill,Vehicle Fuel - Pipeline Injection,Roosevelt,WA,11/1/2018,6000,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,45.805,-120.174,-13377708.48659086,5749155.209939612
"Rumpke SLF, Inc.",Landfill,Vehicle Fuel - Pipeline Injection,Cincinnati,OH,1/1/1986,10417,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,39.2745,-84.59822,-9417430.772417333,4761067.964109809
S & S Dairy (CA) Digester,Ag digester,CNG,Visalia,CA,2020,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.27785194,-119.452067,-13297343.272643998,4338921.03137445
S & S Jerseyland Dairy Digester,Ag digester,Pipeline Gas,Sturgeon Bay,WI,2012,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,44.83519,-87.37065,-9726056.268277327,5595612.734178126
Sarpy County SLF,Landfill,Vehicle Fuel - Pipeline Injection,Springfield,NE,7/12/2018,708,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,41.0993,-96.1628,-10704793.929255407,5026999.442787952
Sauk Trail Hills Landfill,Landfill,Vehicle Fuel - Pipeline Injection,Canton,MI,8/20/2013,1361,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,42.2744,-83.4563,-9290312.819490677,5202172.27074569
Scheenstra Dairy Digester,Ag digester,CNG,Tulare,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.09427389,-119.3442731,-13285343.710585376,4313601.079595539
Seabreeze Environmental Landfill,Landfill,Industrial - Pipeline Injection,Angleton,TX,3/31/2018,2417,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,29.090834,-95.36,-10615426.642046567,3387212.255412844
Seminole Road MSW Landfill,Landfill,Vehicle Fuel - Pipeline Injection,Ellenwood,GA,2/26/2013,412,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,33.6552,-84.2525,-9378945.39806028,3982597.2438511895
Seminole Road MSW Landfill,Landfill,Vehicle Fuel - Local Use,Ellenwood,GA,2/26/2013,138,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,33.6552,-84.2525,-9378945.39806028,3982597.2438511895
Seneca Landfill Inc.,Landfill,Vehicle Fuel - Pipeline Injection,Evans City,PA,2/1/2011,812,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,40.8117,-80.0783,-8914275.579590999,4984607.005287609
Seneca Landfill Inc.,Landfill,Vehicle Fuel - Local Use,Evans City,PA,6/1/2018,56,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,40.8117,-80.0783,-8914275.579590999,4984607.005287609
